Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Comment,Tx Narrow,Pager Enable,
55,146.64000,146.04000,600 kHz,Minus,Auto,WR6ABD,On,Tone,162.2 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,NTS - SANTA CLARA VALLEY SECTION,Off,Off,
56,441.45000,446.45000,5.00 MHz,Plus,Auto,K6JE70,On,Tone,123.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SAN BENITO COUNTY,Off,Off,
57,145.43000,144.83000,600 kHz,Minus,Auto,N6SPD,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,N6SPD VHF,Off,Off,
58,441.65000,446.65000,5.00 MHz,Plus,Auto,SPD_70,On,Tone,123.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,N6SPD UHF  MT TORO,Off,Off,
59,441.92500,446.92500,5.00 MHz,Plus,Auto,WA6HHQ,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,APTOS,Off,Off,
60,443.47500,448.47500,5.00 MHz,Plus,Auto,K6LNK,On,Tone,123.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,"CARLA MULTIPLE LINKED REPEATERS, CA,NV",Off,Off,
61,443.75000,448.75000,5.00 MHz,Plus,Auto,NO1PC,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,CRYSTAL PEAK,Off,Off,
62,444.70000,449.70000,5.00 MHz,Plus,Auto,K6LY70,On,Tone,123.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,K6LY UHF MONTEREY,Off,Off,
63,444.90000,449.90000,5.00 MHz,Plus,Auto,KU6V,On,Tone,110.9 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CRUZ MOUNTAINS,Off,Off,
64,444.60000,449.60000,5.00 MHz,Plus,Auto,OQS 70,On,Tone,141.3 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA PRIETA WB6OQS UHF,Off,Off,
65,444.00000,449.00000,5.00 MHz,Plus,Auto,WLS_70,On,Tone,110.9 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,W6WLS UHF SANTA CRUZ,Off,Off,
67,162.55000,162.55000, ,Simplex,Auto,NOAA7,On,None,88.5 Hz,023,Low,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,WEATHER INFO,Off,Off,
